Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Region
Hong Kong,0.072,-0.066,0.315,0.104,0.141,0.642,0.047,-0.649,0.0,-0.387,-0.175,-0.124,0.435,-0.334,0.167,-0.764,0.169,0.012,0.025,0.259,0.386,0.071,-0.18,-0.516,-0.296,-0.001,0.818,-0.153,0.243,0.29,0.757,-0.201,0.33,0.396,0.03,0.044,0.291,0.952,1.011,0.347,0.877,0.984,1.006,0.677,0.742,0.92,1.031,0.431,0.95,0.49,0.393,0.546,0.825,0.599,1.059,0.639,1.192,1.02,1.574,1.683,1.802,1.202,1.243,1.709,East Asia
Macau,0.072,-0.066,0.315,0.104,0.141,0.642,0.047,-0.649,0.0,-0.387,-0.175,-0.124,0.435,-0.334,0.167,-0.764,0.169,0.012,0.025,0.259,0.386,0.071,-0.18,-0.516,-0.296,-0.001,0.818,-0.153,0.243,0.29,0.757,-0.201,0.33,0.396,0.03,0.044,0.291,0.952,1.011,0.347,0.877,0.984,1.006,0.677,0.742,0.92,1.031,0.431,0.95,0.49,0.393,0.546,0.825,0.599,1.059,0.639,1.192,1.02,1.574,1.683,1.802,1.202,1.243,1.709,East Asia
Hong Kong,0.255,-0.146,0.287,-0.024,0.076,0.179,-0.285,-0.411,-0.216,-0.306,0.035,0.013,0.409,-0.008,0.275,-0.395,-0.06,0.239,0.299,0.254,0.222,0.384,0.124,-0.15,-0.125,-0.042,0.429,0.394,0.422,0.844,0.519,0.124,0.273,0.725,0.57,0.203,0.73,1.263,1.229,0.571,1.037,1.129,0.821,1.107,1.04,1.224,1.527,1.079,1.326,0.958,0.786,0.625,1.085,1.093,1.308,1.339,1.6,1.397,1.443,1.672,1.708,1.909,1.892,2.272,East Asia
Japan,0.666,0.123,-0.056,0.26,-0.524,0.018,0.034,-0.496,-0.043,-0.374,-0.331,0.228,0.328,-0.484,0.043,-0.507,-0.154,0.234,0.463,-0.205,-0.633,-0.042,0.108,-0.605,0.13,-0.686,0.322,-0.157,0.556,1.133,0.724,0.331,0.011,0.958,0.341,-0.135,0.445,1.191,0.94,0.622,0.403,0.615,0.303,1.095,0.715,0.365,0.978,0.648,0.789,0.909,0.579,0.37,0.6,0.537,0.813,1.302,0.771,0.899,1.248,1.41,1.237,1.301,1.822,2.19,East Asia
North Korea,0.495,-0.053,-0.103,0.241,-0.207,-0.063,0.166,-0.467,-0.457,-0.38,-0.272,-0.16,0.627,-0.464,0.92,-0.32,0.169,0.693,0.646,0.01,-0.587,0.913,0.592,-0.149,0.15,-0.71,0.222,0.55,1.209,1.313,0.582,0.759,0.559,1.344,0.683,0.262,0.972,1.768,1.371,0.59,0.841,0.84,0.931,1.581,0.85,0.687,1.6,1.51,1.057,0.373,0.502,0.401,0.298,1.583,1.284,1.489,1.681,0.969,1.918,1.901,1.886,1.626,2.076,2.655,East Asia
South Korea,0.64,-0.091,-0.478,0.604,-0.165,0.111,0.18,-0.669,-0.28,-0.482,-0.182,-0.071,0.535,-0.782,0.591,-0.473,0.128,0.803,0.612,-0.445,-0.739,0.448,0.478,-0.26,0.287,-0.736,0.4,0.276,0.799,1.248,0.293,0.637,0.054,1.259,0.424,-0.018,0.735,1.486,1.062,0.422,0.902,0.656,0.635,1.218,0.94,0.525,1.296,0.988,0.983,0.52,0.325,0.407,0.54,1.055,0.991,1.667,1.468,0.961,1.527,1.503,1.686,1.526,1.64,2.54,East Asia
Mongolia,0.148,-0.125,1.19,-0.179,0.855,0.371,-0.446,-0.789,-0.841,-0.28,-0.032,0.242,0.697,0.203,0.501,-0.188,0.085,0.925,0.966,0.5,0.234,1.159,0.626,-0.329,-0.423,0.389,0.195,0.643,1.34,1.534,1.086,0.819,0.458,1.328,1.263,0.399,1.937,2.118,1.765,0.981,1.681,1.779,0.504,1.764,0.92,1.223,2.731,1.767,1.407,0.317,0.774,0.238,1.03,1.894,2.159,1.422,2.531,2.245,1.881,2.402,2.019,2.223,2.196,2.624,East Asia
