Region,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
East Asia,0.3354285714285714,-0.06057142857142857,0.21,0.15857142857142856,0.045285714285714276,0.2714285714285714,-0.03671428571428571,-0.59,-0.2624285714285714,-0.3708571428571429,-0.16171428571428573,0.0005714285714285719,0.49514285714285716,-0.3147142857142858,0.3805714285714286,-0.48728571428571427,0.07228571428571429,0.41685714285714287,0.4337142857142857,0.09028571428571429,-0.10442857142857143,0.42914285714285716,0.224,-0.3607142857142857,-0.08185714285714285,-0.2552857142857143,0.4577142857142857,0.2,0.6874285714285715,0.9502857142857143,0.674,0.32399999999999995,0.28785714285714287,0.9151428571428571,0.4772857142857143,0.11414285714285714,0.7715714285714286,1.3900000000000001,1.1984285714285714,0.5542857142857143,0.9454285714285715,0.9981428571428571,0.7437142857142857,1.159857142857143,0.8498571428571429,0.8377142857142859,1.4562857142857142,0.9791428571428572,1.066,0.5795714285714286,0.5359999999999999,0.44757142857142856,0.7432857142857142,1.0514285714285714,1.239,1.2138571428571427,1.4907142857142859,1.2158571428571427,1.595,1.7505714285714284,1.7342857142857144,1.569857142857143,1.7302857142857142,2.242714285714286
Southeast Asia,-0.0499,-0.10129999999999999,-0.2855,0.0033999999999999976,-0.2232222222222222,0.27759999999999996,-0.1384,-0.1313,0.3076,0.08349999999999999,-0.31789999999999996,-0.0091,0.36429999999999996,-0.2884,0.008200000000000004,-0.3089,0.03377777777777777,0.19,0.3039090909090909,0.2515454545454545,0.277,0.01,0.3281818181818182,-0.07272727272727274,0.14054545454545456,0.04145454545454546,0.5685,0.3288,0.1361111111111111,0.24159999999999998,0.4162,0.1992,0.18454545454545454,0.3362,0.39899999999999997,0.20363636363636364,0.3255454545454545,1.1398181818181818,0.38499999999999995,0.1983,0.5244,0.581,0.6579090909090909,0.47781818181818186,0.7898181818181819,0.5803636363636364,0.4901818181818182,0.29972727272727273,0.6099090909090908,0.9817272727272727,0.2972727272727273,0.6881818181818182,0.8855454545454545,0.7309090909090908,1.0548181818181819,1.4214545454545453,1.0499999999999998,0.8984545454545455,1.4493636363636364,1.3964545454545456,1.1272727272727272,1.0213636363636363,1.2777272727272726,1.728909090909091
